fecha,pais,departamento,municipio,lugar,localidad,zona,implementacion,coordenadas_n,coordenadas_w,altitud,hora,codigo,transecto,subparcela,cobertura,familia,genero,especie,cap,dap,altura,cob_x,cob_y,cob_total,observaciones
29/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´14.8""","75°24´46.2""",3948,15:50,AT5,5,3,Arbustal-Pajonal,Asteraceae,Baccharis,Baccharis tricuneata,3.14,1,67,25,21,525,
29/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´14.8""","75°24´46.2""",3948,15:50,AT5,5,3,Arbustal-Pajonal,Hyperaceae,Hypericum,Hypericum laricifolium,3.14,1,84,28,25,700,
29/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´14.8""","75°24´46.2""",3948,15:50,AT5,5,1,Arbustal-Pajonal,Asteraceae,Baccharis,Baccharis tricuneata,3.14,1,76,33,26,858,
29/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´14.8""","75°24´46.2""",3948,15:50,AT5,5,2,Arbustal-Pajonal,Asteraceae,Baccharis,Baccharis tricuneata,3.14,1,95,39,29,1131,
29/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´23.7""","75°24´45.9""",3940,13:20,AT4,4,3,Arbustal-Pajonal,Hyperaceae,Hypericum,Hypericum laricifolium,3.14,1,82,31,30,930,
29/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´23.7""","75°24´45.9""",3940,13:20,AT4,4,1,Arbustal-Pajonal,Escalloniaceae,Escallonia,Escallonia myrtilloides,3.14,1,88,78,79,6162,
07/11/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Lomabonita,2009," 04°45´22.4""","75°25´51.6""",4098,13:33,LMT3,3,3,Frailejonal-Pajonal,Asteraceae,Pentacalia,Pentacalia vaccinioides,3.14,1,69,22,33,726,
07/11/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Lomabonita,2009," 04°45´22.4""","75°25´51.6""",4098,13:33,LMT3,3,1,Frailejonal-Pajonal,Hyperaceae,Hypericum ,Hypericum strictum,3.14,1,80,47,43,2021,
26/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´34.4""","75°24´19.3""",4073,13:42,PPT2,2,1,Frailejonal-Pajonal,Asteraceae,Baccharis,Baccharis rupícola,3.14,1,91,45,45,2025,
27/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´32.0""","75°24´10.5""",4120,15:35,PPT5,5,2,Frailejonal-Pajonal,Asteraceae,Baccharis,Baccharis tricuneata,3.14,1,75,58,50,2900,
07/10/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Lomabonita,2009," 04°45´27.7""","75°25´14.7""",4056,15:20,LMT1,1,2,Pajonal,Asteraceae,Baccharis,Baccharis tricuneata,3.14,1,56,29,13,377,Rebrote
07/10/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Lomabonita,2009," 04°45´27.7""","75°25´14.7""",4056,15:20,LMT1,1,1,Pajonal,Asteraceae,Baccharis,Baccharis tricuneata,3.14,1,67,20,25,500,
28/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Alsacia Baja ,2009," 04°47´29.2""","75°24´42.1""",4016,15:15,AT3,3,2,Pajonal,Asteraceae,Baccharis,Baccharis tricuneata,3.14,1,60,46,27,1242,
26/06/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Laguna del Otún,Plan del Puma,2011,"04°46´38.6""","75°24´18.7""",4060,10:35,PPT1,1,3,Pastos Arbolados,Asteraceae,Baccharis,Baccharis tricuneata,3.14,1,41,21,20,420,
07/09/2017,Colombia,Risaralda,Pereira,PNN Los Nevados,Vereda El Bosque,Playa Rica,2011," 04°44´57.3""","75°26´48.0""",3677,14:11,PRT3,3,1,Pastos Limpios,Loranthaceae,Gaiadendron ,Gaiadendron punctatum,3.14,1,38,19,17,323,
